nom_de_l_etablissment,ips_voie_pro,type_de_lycee,secteur,uai,ips_ensemble_gt_pro,code_du_departement,rentree_scolaire,code_insee_de_la_commune,academie,departement,nom_de_la_commune,ips_voie_gt,ecart_type_de_l_ips_voie_pro,ecart_type_de_l_ips_voie_gt
LYCEE PROFESSIONNEL PRIVE CATHOLIQUE SAINTE SUZANNE,63.3,LP,privé sous contrat,9740679V,63.3,974,2018-2019,97420,LA REUNION,LA REUNION,SAINTE SUZANNE,,,
LYCEE GENERAL ET TECHNOLOGIQUE PIERRE POIVRE,,LEGT,public,9740952S,91.8,974,2018-2019,97412,LA REUNION,LA REUNION,SAINT JOSEPH,91.8,,
LYCEE GENERAL ET TECHNOLOGIQUE BELLEPIERRE,,LEGT,public,9741046U,102.3,974,2018-2019,97411,LA REUNION,LA REUNION,SAINT DENIS,102.3,,
LYCEE POLYVALENT PRIVE CATHOLIQUE LA SALLE SAINT CHARLES,86.3,LPO,privé sous contrat,9741255W,116.8,974,2018-2019,97416,LA REUNION,LA REUNION,SAINT PIERRE,121.4,,
LYCEE POLYVALENT PRIVE MAISON BLANCHE,,LEGT,privé sous contrat,9741556Y,133.5,974,2018-2019,97415,LA REUNION,LA REUNION,SAINT PAUL,133.5,,
LYCEE POLYVALENT DE BANDRELE LYCEE DES METIERS,60.4,LPO,public,9760363R,62.2,976,2018-2019,97603,MAYOTTE,MAYOTTE,BANDRELE,67.0,,
LYCEE POLYVALENT DE MAMOUDZOU NORD,62.8,LPO,public,9760370Y,66.8,976,2018-2019,97611,MAYOTTE,MAYOTTE,MAMOUDZOU,67.8,,
LYCEE POLYVALENT JOSEPH MARIE CARRIAT,99.4,LPO,public,0010016M,110.5,01,2019-2020,01053,LYON,AIN,BOURG EN BRESSE,112.8,31.5,35.0
LYCEE POLYVALENT XAVIER BICHAT,82.5,LPO,public,0010032E,102.3,01,2019-2020,01269,LYON,AIN,NANTUA,106.2,27.1,34.5
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT PIERRE,,LEGT,privé sous contrat,0010070W,127.6,01,2019-2020,01053,LYON,AIN,BOURG EN BRESSE,127.6,,34.0
LYCEE POLYVALENT INTERNATIONAL,90.7,LPO,public,0010072Y,123.9,01,2019-2020,01160,LYON,AIN,FERNEY VOLTAIRE,126.4,29.9,35.8
LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH,105.0,LP,privé sous contrat,0010814E,105.0,01,2019-2020,01249,LYON,AIN,MIRIBEL,,32.4,
LYCEE PROFESSIONNEL PRIVE ENSEMBLE SCOLAIRE LAMARTINE,100.4,LP,privé sous contrat,0011258M,100.4,01,2019-2020,01034,LYON,AIN,BELLEY,,33.9,
LYCEE GENERAL PRIVE SAINT JOSEPH,,LEGT,privé sous contrat,0011431A,121.4,01,2019-2020,01348,LYON,AIN,SAINT DIDIER SUR CHALARONNE,121.4,,36.6
LYCEE POLYVALENT JEAN DE LA FONTAINE LYCEE DES METIERS DE LA SANTE DE LA GESTION ET DU COMMERCE,78.5,LPO,public,0020012C,92.9,02,2019-2020,02168,AMIENS,AISNE,CHATEAU THIERRY,99.9,24.4,33.2
LYCEE PROFESSIONNEL CHATEAU POTEL LYCEE DES METIERS HORTICULTURE ET MAINTENANCE (VEHICULES INDUSTRIELS MATERIELS AGRICOLES ET TRAVAUX PUBLICS),87.9,LP,public,0020025S,87.9,02,2019-2020,02307,AMIENS,AISNE,LA FERTE MILON,,26.8,
LYCEE GENERAL ET TECHNOLOGIQUE PAUL CLAUDEL,,LEGT,public,0020032Z,101.8,02,2019-2020,02408,AMIENS,AISNE,LAON,101.8,,35.0
LYCEE PROFESSIONNEL PRIVE SAINTE SOPHIE LYCEE DES METIERS DES SERVICES A LA PERSONNE,82.8,LP,privé sous contrat,0020498F,82.8,02,2019-2020,02095,AMIENS,AISNE,BOHAIN EN VERMANDOIS,,29.9,
LYCEE PROFESSIONNEL FRANCOISE DOLTO LYCEE DES METIERS DES SERVICES AUX PERSONNES ET AUX ENTREPRISES,71.5,LP,public,0021479X,71.5,02,2019-2020,02361,AMIENS,AISNE,GUISE,,24.5,
LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE PRIVE SAINT JOSEPH,,LEGT,privé sous contrat,0021869W,113.5,02,2019-2020,02168,AMIENS,AISNE,CHATEAU THIERRY,113.5,,36.8
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ST JEAN LA CROIX,,LEGT,privé sous contrat,0021873A,118.0,02,2019-2020,02691,AMIENS,AISNE,SAINT QUENTIN,118.0,,36.4
LYCEE POLYVALENT LE CORBUSIER LYCEE DES METIERS DE L HOTELLERIE ET DU BATIMENT,79.4,LPO,public,0022044L,82.1,02,2019-2020,02722,AMIENS,AISNE,SOISSONS,99.5,27.1,34.2
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT VINCENT DE PAUL,,LEGT,privé sous contrat,0022108F,113.1,02,2019-2020,02722,AMIENS,AISNE,SOISSONS,113.1,,33.8
LYCEE PROFESSIONNEL ALBERT LONDRES LYCEE DES METIERS DU BOIS DES ENERGIES ET DES SERVICES AUX ORGANISATIONS,85.0,LP,public,0030061A,85.0,03,2019-2020,03095,CLERMONT-FERRAND,ALLIER,CUSSET,,27.2,
LYCEE PROFESSIONNEL VAL D ALLIER,77.9,LP,public,0030924N,77.9,03,2019-2020,03298,CLERMONT-FERRAND,ALLIER,VARENNES SUR ALLIER,,25.7,
LYCEE TECHNOLOGIQUE PRIVE ANNA RODIER,,LEGT,privé sous contrat,0031041R,96.3,03,2019-2020,03190,CLERMONT-FERRAND,ALLIER,MOULINS,96.3,,28.1
LYCEE POLYVALENT ALBERT EINSTEIN LYCEE DES METIERS DE L AUTOMOBILE,86.1,LP,public,0031043T,86.1,03,2019-2020,03185,CLERMONT-FERRAND,ALLIER,MONTLUCON,,29.2,
LYCEE PROFESSIONNEL LOUIS MARTIN BRET LYCEE DES METIERS DE L HOTELLERIE RESTAURATION DES SECTEURS TERTIAIRE ET INDUSTRIEL,85.9,LP,public,0040011R,85.9,04,2019-2020,04112,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,MANOSQUE,,28.6,
LYCEE POLYVALENT LES ISCLES,101.9,LPO,public,0040533H,120.4,04,2019-2020,04112,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,MANOSQUE,122.7,32.8,33.7
ECOLE INTERNATIONALE PROVENCE ALPES COTE D AZUR,,LEGT,public,0040543U,142.3,04,2019-2020,04112,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,MANOSQUE,142.3,,32.6
LYCEE POLYVALENT D ALTITUDE,81.7,LPO,public,0050003B,114.2,05,2019-2020,05023,AIX-MARSEILLE,HAUTES-ALPES,BRIANCON,118.7,27.6,32.8
LYCEE GENERAL PRIVE SAINT JOSEPH,,LEGT,privé sous contrat,0050035L,115.9,05,2019-2020,05061,AIX-MARSEILLE,HAUTES-ALPES,GAP,115.9,,33.2
LYCEE GENERAL ET TECHNOLOGIQUE BRISTOL,,LEGT,public,0060013G,100.1,06,2019-2020,06029,NICE,ALPES-MARITIMES,CANNES,100.1,,32.5
LYCEE GENERAL ET TECHNOLOGIQUE JULES FERRY,,LEGT,public,0060014H,116.4,06,2019-2020,06029,NICE,ALPES-MARITIMES,CANNES,116.4,,36.8
LYCEE PROFESSIONNEL LES COTEAUX LYCEE DES METIERS DE LA RELATION CLIENT DE LA MODE ET DU COSTUME DE SPECTACLE,88.1,LPO,public,0060015J,89.3,06,2019-2020,06029,NICE,ALPES-MARITIMES,CANNES,120.2,30.8,33.1
LYCEE PROFESSIONNEL LEON CHIRIS,89.5,LP,public,0060022S,89.5,06,2019-2020,06069,NICE,ALPES-MARITIMES,GRASSE,,28.7,
LYCEE GENERAL ET TECHNOLOGIQUE PIERRE ET MARIE CURIE,,LEGT,public,0060026W,102.2,06,2019-2020,06083,NICE,ALPES-MARITIMES,MENTON,102.2,,31.7
LYCEE GENERAL ET TECHNOLOGIQUE PARC IMPERIAL,,LEGT,public,0060029Z,107.5,06,2019-2020,06088,NICE,ALPES-MARITIMES,NICE,107.5,,37.3
LYCEE PROFESSIONNEL PASTEUR,95.5,LP,public,0060040L,95.5,06,2019-2020,06088,NICE,ALPES-MARITIMES,NICE,,33.3,
LYCEE PROFESSIONNEL MAGNAN LYCEE DES METIERS DES SOINS ET SERVICES A LA PERSONNE,79.9,LP,public,0060043P,79.9,06,2019-2020,06088,NICE,ALPES-MARITIMES,NICE,,28.7,
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE MARIE,,LEGT,privé sous contrat,0060670W,119.1,06,2019-2020,06029,NICE,ALPES-MARITIMES,CANNES,119.1,,33.3
LYCEE PROFESSIONNEL PRIVE DON BOSCO LYCEE DES METIERS DE LA MAINTENANCE INDUSTRIELLE ET INDUSTRIE GRAPHIQUE,107.5,LP,privé sous contrat,0061462G,107.5,06,2019-2020,06088,NICE,ALPES-MARITIMES,NICE,,30.7,
LYCEE PROFESSIONNEL ALFRED HUTINEL LYCEE DES METIERS DES ENERGIES ELECTRIQUES,91.5,LP,public,0061561P,91.5,06,2019-2020,06029,NICE,ALPES-MARITIMES,CANNES,,30.3,
LYCEE GENERAL ET TECHNOLOGIQUE THIERRY MAULNIER LYCEE DES METIERS DE LA CHIMIE,,LEGT,public,0061691F,104.1,06,2019-2020,06088,NICE,ALPES-MARITIMES,NICE,104.1,,35.8
LYCEE POLYVALENT MARCEL GIMOND,90.4,LPO,public,0070003R,108.2,07,2019-2020,07019,GRENOBLE,ARDECHE,AUBENAS,111.4,29.5,34.0
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE MARIE RIVIER,,LEGT,privé sous contrat,0070066J,119.4,07,2019-2020,07042,GRENOBLE,ARDECHE,BOURG SAINT ANDEOL,119.4,,35.7
LYCEE PROFESSIONNEL PRIVE SAINT ANDRE,95.5,LP,privé sous contrat,0070112J,95.5,07,2019-2020,07319,GRENOBLE,ARDECHE,LE TEIL,,27.1,
LYCEE POLYVALENT FRANCOIS BAZIN LYCEE DES METIERS DES TECHNOLOGIES INDUSTRIELLES ET DE L ENERGIE,76.7,LPO,public,0080008R,102.1,08,2019-2020,08105,REIMS,ARDENNES,CHARLEVILLE MEZIERES,105.1,23.2,34.9
LYCEE POLYVALENT PAUL VERLAINE,79.4,LPO,public,0080039Z,95.5,08,2019-2020,08362,REIMS,ARDENNES,RETHEL,105.1,25.0,31.8
LYCEE PROFESSIONNEL LE CHATEAU,72.2,LP,public,0080048J,72.2,08,2019-2020,08409,REIMS,ARDENNES,SEDAN,,22.9,
LYCEE PROFESSIONNEL PRIVE JEANNE D ARC,83.0,LP,privé sous contrat,0080093H,83.0,08,2019-2020,08490,REIMS,ARDENNES,VOUZIERS,,27.9,
LYCEE GENERAL ET TECHNOLOGIQUE GABRIEL FAURE,,LEGT,public,0090002D,114.5,09,2019-2020,09122,TOULOUSE,ARIEGE,FOIX,114.5,,34.4
LYCEE PROFESSIONNEL ARISTIDE BERGES LYCEE DES METIERS BATIMENT HABITAT DANS LE DEVELOPPEMENT DURABLE,86.1,LP,public,0090019X,86.1,09,2019-2020,09261,TOULOUSE,ARIEGE,SAINT GIRONS,,29.3,
LYCEE POLYVALENT GASTON BACHELARD,78.7,LPO,public,0100003Z,96.8,10,2019-2020,10033,REIMS,AUBE,BAR SUR AUBE,102.9,24.3,32.0
LYCEE PROFESSIONNEL PRIVE JEANNE MANCE,80.7,LP,privé sous contrat,0100078F,80.7,10,2019-2020,10387,REIMS,AUBE,TROYES,,27.8,
LYCEE PROFESSIONNEL PRIVE LA SALLE LYCEE DES METIERS DU BATIMENT PERFORMANT DU DESIGN ET DE LA COMMUNICATION DIGITALE,98.4,LP,privé sous contrat,0101015Z,98.4,10,2019-2020,10387,REIMS,AUBE,TROYES,,32.5,
LYCEE GENERAL CAMILLE CLAUDEL,,LEGT,public,0101028N,109.6,10,2019-2020,10387,REIMS,AUBE,TROYES,109.6,,39.4
LYCEE POLYVALENT LOUISE MICHEL,83.8,LPO,public,0110023R,99.0,11,2019-2020,11262,MONTPELLIER,AUDE,NARBONNE,106.1,28.5,35.3
LYCEE GENERAL ET TECHNOLOGIQUE JEAN VIGO,,LEGT,public,0120012Y,111.5,12,2019-2020,12145,TOULOUSE,AVEYRON,MILLAU,111.5,,32.1
LYCEE PROFESSIONNEL FERDINAND FOCH,86.5,LP,public,0120038B,86.5,12,2019-2020,12202,TOULOUSE,AVEYRON,RODEZ,,27.1,
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE JEANNE D ARC,,LEGT,privé sous contrat,0120051R,110.6,12,2019-2020,12145,TOULOUSE,AVEYRON,MILLAU,110.6,,34.0
LYCEE GENERAL PRIVE IMMACULEE CONCEPTION,,LEGT,privé sous contrat,0120052S,93.8,12,2019-2020,12096,TOULOUSE,AVEYRON,ESPALION,93.8,,26.7
LYCEE PROFESSIONNEL GAMBETTA LYCEE DES METIERS DU TERTIAIRE,87.4,LP,public,0130006L,87.4,13,2019-2020,13001,AIX-MARSEILLE,BOUCHES-DU-RHONE,AIX EN PROVENCE,,31.5,
LYCEE GENERAL ET TECHNOLOGIQUE PERIER,,LEGT,public,0130036U,107.9,13,2019-2020,13208,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 8E ARRONDISSEMENT,107.9,,38.0
LYCEE GENERAL ET TECHNOLOGIQUE SAINT CHARLES,,LEGT,public,0130039X,104.0,13,2019-2020,13201,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 1ER ARRONDISSEMENT,104.0,,40.1
LYCEE GENERAL ET TECHNOLOGIQUE SAINT EXUPERY,,LEGT,public,0130048G,71.6,13,2019-2020,13215,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 15E ARRONDISSEMENT,71.6,,25.5
LYCEE POLYVALENT JEAN PERRIN,82.6,LPO,public,0130053M,101.8,13,2019-2020,13210,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 10E ARRONDISSEMENT,104.7,28.1,36.1
LYCEE PROFESSIONNEL POINSO CHAPUIS,90.1,LP,public,0130054N,90.1,13,2019-2020,13208,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 8E ARRONDISSEMENT,,35.0,
LYCEE PROFESSIONNEL LYCEE DES METIERS LA FLORIDE,64.4,LP,public,0130056R,64.4,13,2019-2020,13214,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 14E ARRONDISSEMENT,,21.9,
LYCEE PROFESSIONNEL CAMILLE JULLIAN,73.6,LP,public,0130068D,73.6,13,2019-2020,13211,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 11E ARRONDISSEMENT,,25.4,
LYCEE GENERAL ET TECHNOLOGIQUE L EMPERI,,LEGT,public,0130160D,112.8,13,2019-2020,13103,AIX-MARSEILLE,BOUCHES-DU-RHONE,SALON DE PROVENCE,112.8,,36.2
LYCEE GENERAL PRIVE SAINTE CATHERINE DE SIENNE,,LEGT,privé sous contrat,0131320P,135.2,13,2019-2020,13001,AIX-MARSEILLE,BOUCHES-DU-RHONE,AIX EN PROVENCE,135.2,,33.0
LYCEE GENERAL PRIVE SAINT CHARLES CAMAS,,LEGT,privé sous contrat,0131342N,99.8,13,2019-2020,13205,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 5E ARRONDISSEMENT,99.8,,35.0
LYCEE GENERAL PRIVE SAINTE TRINITE,,LEGT,privé sous contrat,0131347U,127.4,13,2019-2020,13209,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 9E ARRONDISSEMENT,127.4,,33.5
LYCEE GENERAL PRIVE SEVIGNE,,LEGT,privé sous contrat,0131348V,123.9,13,2019-2020,13213,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 13E ARRONDISSEMENT,123.9,,32.9
LYCEE PROFESSIONNEL PRIVE ORT LEON BRAMSON,92.5,LP,privé sous contrat,0131424C,92.5,13,2019-2020,13210,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 10E ARRONDISSEMENT,,36.8,
LYCEE GENERAL ET TECHNOLOGIQUE FREDERIC JOLIOT CURIE,,LEGT,public,0131549N,116.6,13,2019-2020,13005,AIX-MARSEILLE,BOUCHES-DU-RHONE,AUBAGNE,116.6,,35.7
LYCEE POLYVALENT AUGUSTE ET LOUIS LUMIERE,89.4,LPO,public,0131747D,115.7,13,2019-2020,13028,AIX-MARSEILLE,BOUCHES-DU-RHONE,LA CIOTAT,119.3,30.1,35.1
LYCEE GENERAL ET TECHNOLOGIQUE ARTHUR RIMBAUD,,LEGT,public,0132495S,110.3,13,2019-2020,13047,AIX-MARSEILLE,BOUCHES-DU-RHONE,ISTRES,110.3,,34.9
LYCEE PROFESSIONNEL PRIVE JACQUES RAYNAUD,76.7,LP,privé sous contrat,0132790M,76.7,13,2019-2020,13213,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 13E ARRONDISSEMENT,,26.0,
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE LA CADENELLE,105.1,LPO,privé sous contrat,0132828D,109.3,13,2019-2020,13212,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 12E ARRONDISSEMENT,110.3,36.9,33.1
LYCEE TECHNOLOGIQUE PRIVE SAINT JEAN,,LEGT,privé sous contrat,0132922F,111.3,13,2019-2020,13103,AIX-MARSEILLE,BOUCHES-DU-RHONE,SALON DE PROVENCE,111.3,,31.3
LYCEE PROFESSIONNEL PRIVE JEANNE D ARC,82.3,LP,privé sous contrat,0133274N,82.3,13,2019-2020,13004,AIX-MARSEILLE,BOUCHES-DU-RHONE,ARLES,,28.9,
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ORT LEON BRAMSON,,LEGT,privé sous contrat,0133334D,108.8,13,2019-2020,13210,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 10E ARRONDISSEMENT,108.8,,37.0
LYCEE POLYVALENT DE LA MEDITERRANEE,96.7,LPO,public,0133406G,118.3,13,2019-2020,13028,AIX-MARSEILLE,BOUCHES-DU-RHONE,LA CIOTAT,127.5,32.0,34.4
LYCEE TECHNOLOGIQUE PRIVE MARIE GASQUET,91.1,LPO,privé sous contrat,0133474F,91.6,13,2019-2020,13212,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 12E ARRONDISSEMENT,94.3,33.2,27.3
LYCEE REGIONAL NELSON MANDELA,79.2,LPO,public,0134003F,101.9,13,2019-2020,13212,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 12E ARRONDISSEMENT,104.7,30.1,35.3
IBN KHALDOUN,,LEGT,privé sous contrat,0134107U,88.2,13,2019-2020,13215,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 15E ARRONDISSEMENT,88.2,,30.8
LYCEE GENERAL ET TECHNOLOGIQUE AUGUSTIN FRESNEL,,LEGT,public,0140014P,111.5,14,2019-2020,14118,CAEN,CALVADOS,CAEN,111.5,,33.2
LYCEE PROFESSIONNEL VICTOR LEPINE LYCEE DES METIERS D ARTS APPLIQUES A LA CREATION ET AU BIEN ETRE,84.6,LP,public,0140018U,84.6,14,2019-2020,14118,CAEN,CALVADOS,CAEN,,27.5,
LYCEE GENERAL ANDRE MAUROIS,,LEGT,public,0140043W,104.6,14,2019-2020,14220,CAEN,CALVADOS,DEAUVILLE,104.6,,31.2
LYCEE GENERAL PRIVE JEANNE D ARC,,LEGT,privé sous contrat,0141161L,136.2,14,2019-2020,14118,CAEN,CALVADOS,CAEN,136.2,,30.5
LYCEE GENERAL PRIVE INSTITUTION SAINTE MARIE,,LEGT,privé sous contrat,0141164P,126.9,14,2019-2020,14118,CAEN,CALVADOS,CAEN,126.9,,32.8
LYCEE PROFESSIONNEL PRIVE NOTRE DAME DE FIDELITE LYCEE DES METIERS DU SECTEUR DE LA SANTE ET DU SOCIAL,91.9,LP,privé sous contrat,0141191U,91.9,14,2019-2020,14118,CAEN,CALVADOS,CAEN,,31.4,
LYCEE PROFESSIONNEL PRIVE LES ROSIERS,89.0,LP,privé sous contrat,0141868E,89.0,14,2019-2020,14366,CAEN,CALVADOS,LISIEUX,,27.8,
LYCEE TECHNOLOGIQUE PRIVE NOTRE DAME DE FIDELITE,,LEGT,privé sous contrat,0142084P,98.8,14,2019-2020,14118,CAEN,CALVADOS,CAEN,98.8,,31.7
LYCEE TECHNOLOGIQUE PRIVE NOTRE DAME DE NAZARETH,,LEGT,privé sous contrat,0142108R,106.4,14,2019-2020,14228,CAEN,CALVADOS,DOUVRES LA DELIVRANDE,106.4,,25.6
LYCEE POLYVALENT MONNET MERMOZ LYCEE DES METIERS DES SCIENCES ET TECHNIQUES APPLIQUEES A L INDUSTRIE ET AUX SERVICES,98.3,LPO,public,0150006A,107.2,15,2019-2020,15014,CLERMONT-FERRAND,CANTAL,AURILLAC,109.8,27.7,30.7
LYCEE PROFESSIONNEL JOSEPH CONSTANT,99.2,LP,public,0150022T,99.2,15,2019-2020,15138,CLERMONT-FERRAND,CANTAL,MURAT,,30.0,
LYCEE POLYVALENT DE HAUTE AUVERGNE,90.5,LPO,public,0150030B,109.3,15,2019-2020,15187,CLERMONT-FERRAND,CANTAL,SAINT FLOUR,113.6,19.7,32.0
LYCEE GENERAL EMILE DUCLAUX,,LEGT,public,0150646W,125.5,15,2019-2020,15014,CLERMONT-FERRAND,CANTAL,AURILLAC,125.5,,32.6
LYCEE POLYVALENT JEAN MONNET,90.2,LPO,public,0160020K,107.1,16,2019-2020,16102,POITIERS,CHARENTE,COGNAC,111.1,25.4,33.9
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE MARTHE CHAVAGNES,,LEGT,privé sous contrat,0160079Z,106.0,16,2019-2020,16015,POITIERS,CHARENTE,ANGOULEME,106.0,,35.6
LYCEE GENERAL ET TECHNOLOGIQUE RENE JOSUE VALIN,,LEGT,public,0170027M,116.1,17,2019-2020,17300,POITIERS,CHARENTE-MARITIME,LA ROCHELLE,116.1,,33.3
LYCEE GENERAL ET TECHNOLOGIQUE BELLEVUE,,LEGT,public,0170058W,116.8,17,2019-2020,17415,POITIERS,CHARENTE-MARITIME,SAINTES,116.8,,34.8
LYCEE GENERAL ET TECHNOLOGIQUE BERNARD PALISSY,,LEGT,public,0170060Y,112.7,17,2019-2020,17415,POITIERS,CHARENTE-MARITIME,SAINTES,112.7,,33.2
LYCEE PROFESSIONNEL BERNARD PALISSY,91.9,LP,public,0170078T,91.9,17,2019-2020,17415,POITIERS,CHARENTE-MARITIME,SAINTES,,28.9,
LYCEE POLYVALENT JEAN HYPPOLITE LYCEE DES METIERS DE LA SANTE ET DU SOCIAL,85.4,LPO,public,0170135E,97.7,17,2019-2020,17197,POITIERS,CHARENTE-MARITIME,JONZAC,101.1,26.7,31.7
LYCEE GENERAL ET TECHNOLOGIQUE SAINT EXUPERY,,LEGT,public,0171418Z,108.8,17,2019-2020,17300,POITIERS,CHARENTE-MARITIME,LA ROCHELLE,108.8,,35.8
LYCEE TECHNOLOGIQUE DE LA MER ET DU LITTORAL,99.8,LPO,public,0171428K,107.6,17,2019-2020,17058,POITIERS,CHARENTE-MARITIME,BOURCEFRANC LE CHAPUS,109.3,27.0,31.4
LYCEE GENERAL ET TECHNOLOGIQUE JEAN MOULIN,,LEGT,public,0180024D,105.3,18,2019-2020,18197,ORLEANS-TOURS,CHER,SAINT AMAND MONTROND,105.3,,33.9
LYCEE POLYVALENT EDOUARD VAILLANT,79.9,LPO,public,0180035R,95.5,18,2019-2020,18279,ORLEANS-TOURS,CHER,VIERZON,101.8,27.7,34.3
LYCEE PROFESSIONNEL BORT ARTENSE,83.5,LP,public,0190008F,83.5,19,2019-2020,19028,LIMOGES,CORREZE,BORT LES ORGUES,,27.0,
LYCEE POLYVALENT SIMONE VEIL,82.1,LPO,public,0190012K,88.8,19,2019-2020,19031,LIMOGES,CORREZE,BRIVE LA GAILLARDE,93.9,26.1,30.4
LYCEE GENERAL ET TECHNOLOGIQUE BERNART DE VENTADOUR,,LEGT,public,0190038N,103.6,19,2019-2020,19275,LIMOGES,CORREZE,USSEL,103.6,,31.3
LYCEE POLYVALENT PRIVE NOTRE DAME DE LA PROVIDENCE,90.4,LPO,privé sous contrat,0190062P,94.9,19,2019-2020,19275,LIMOGES,CORREZE,USSEL,102.8,28.0,26.1
LYCEE GENERAL ET TECHNOLOGIQUE CARNOT,,LEGT,public,0210015C,123.6,21,2019-2020,21231,DIJON,COTE D'OR,DIJON,123.6,,38.3
LYCEE GENERAL PRIVE NOTRE DAME,,LEGT,privé sous contrat,0211074D,132.3,21,2019-2020,21231,DIJON,COTE D'OR,DIJON,132.3,,31.0
LYCEE POLYVALENT SAINT JOSEPH LA SALLE,111.8,LPO,privé sous contrat,0211089V,122.8,21,2019-2020,21231,DIJON,COTE D'OR,DIJON,128.7,31.1,32.8
LYCEE POLYVALENT PRIVE LES ARCADES,93.3,LPO,privé sous contrat,0211091X,99.9,21,2019-2020,21231,DIJON,COTE D'OR,DIJON,107.5,32.6,34.8
LYCEE GENERAL INTERNATIONAL CHARLES DE GAULLE,,LEGT,public,0211928G,131.1,21,2019-2020,21231,DIJON,COTE D'OR,DIJON,131.1,,33.4
LYCEE POLYVALENT LES MARCS D OR LYCEE DES METIERS DU BATIMENT ET DES TRAVAUX PUBLICS,92.5,LPO,public,0211986V,96.4,21,2019-2020,21231,DIJON,COTE D'OR,DIJON,117.4,31.3,36.6
LYCEE POLYVALENT MAREY,90.0,LPO,public,0212045J,105.6,21,2019-2020,21054,DIJON,COTE D'OR,BEAUNE,113.0,28.1,33.6
LYCEE PROFESSIONNEL JULES VERNE LYCEE DES METIERS DE L INDUSTRIE ET DU COMMERCE,83.7,LP,public,0220019B,83.7,22,2019-2020,22070,RENNES,COTES D'ARMOR,GUINGAMP,,26.8,
LYCEE GENERAL ET TECHNOLOGIQUE ERNEST RENAN,,LEGT,public,0220057T,122.0,22,2019-2020,22278,RENNES,COTES D'ARMOR,SAINT BRIEUC,122.0,,35.4
LYCEE POLYVALENT CHAPTAL,86.7,LPO,public,0220058U,102.0,22,2019-2020,22278,RENNES,COTES D'ARMOR,SAINT BRIEUC,118.9,29.9,33.0
LYCEE PROFESSIONNEL FELIX LE DANTEC,94.9,LP,public,0220083W,94.9,22,2019-2020,22113,RENNES,COTES D'ARMOR,LANNION,,28.7,
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ST JOSEPH,,LEGT,privé sous contrat,0220099N,109.7,22,2019-2020,22093,RENNES,COTES D'ARMOR,LAMBALLE ARMOR,109.7,,30.6
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT JOSEPH BOSSUET,,LEGT,privé sous contrat,0220102S,122.7,22,2019-2020,22113,RENNES,COTES D'ARMOR,LANNION,122.7,,33.2
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE NOTRE DAME DE CAMPOSTAL,89.2,LPO,privé sous contrat,0220107X,104.7,22,2019-2020,22266,RENNES,COTES D'ARMOR,ROSTRENEN,107.6,29.5,28.0
LYCEE POLYVALENT KERRAOUL LYCEE DES METIERS SANITAIRE ET SOCIAL,91.7,LPO,public,0221571N,111.4,22,2019-2020,22162,RENNES,COTES D'ARMOR,PAIMPOL,118.7,26.0,33.3
LYCEE PROFESSIONNEL PRIVE KERSA LA SALLE,89.1,LP,privé sous contrat,0221866J,89.1,22,2019-2020,22210,RENNES,COTES D'ARMOR,PLOUBAZLANEC,,28.5,
LYCEE PROFESSIONNEL LOUIS GASTON ROUSSILLAT,88.2,LP,public,0230027E,88.2,23,2019-2020,23247,LIMOGES,CREUSE,SAINT VAURY,,26.9,
